keyword,page,title,author,bvid,aid,pub_ts,pub_time,duration,danmaku,like,view,favorite,type_name,tag,description,link
六级,1,考前50分-四六级必考词汇预测 考前必备词汇,我是瑞斯拜,BV1vNm4BDEKC,115694070990685,1765351826.0,2025-12-10 15:30:26,25:18,385,4615,71458,6299.0,校园学习,"四六级,六级,四级,词汇","夸克链接：https://pan.quark.cn/s/5d81ea942f63
摆渡: https://pan.baidu.com/s/1iajMYUBGQFXbld_NXW_ORA 提取码: gslj",https://www.bilibili.com/video/BV1vNm4BDEKC
六级,1,【非标题党】四六级单词预测：听力+阅读 必考词汇，词组大搭配+熟词僻义 一网打尽！,Roy大表哥,BV1Kq2SBNEdW,115687561501992,1765270800.0,2025-12-09 17:00:00,13:46,516,1229,21312,2685.0,校园学习,"四六级,六级,四级,四级听力,六级阅读,六级听力,四级阅读,四级预测,六级预测,四六级备战攻略","15小时【速刷六级核心词】课程我会放在置顶评论，大家在小店里也能找到~

其他免费干货方法论视频：
（1）议论文模板：BV1Gx4y1T7tn
（2）图表作文模板：BV13j411378H
（3）应用文模板：BV1aN411C7fJ

（4）翻译句型模板：BV1Xt4y1n7np

（5）阅读方法论合集：BV1EP411B7DB",https://www.bilibili.com/video/BV1Kq2SBNEdW
六级,1,【B站最全CET6合集】历年大学英语六级听力真题 | 原文＆英文字幕,幼稚园大队长丨,BV1Zu411x7k4,528927079,1684773814.0,2023-05-23 00:43:34,1219:38,277,63932,4380267,156153.0,校园学习,"六级,英语听力,CET6,大学英语六级,六级听力,英语六级听力,是老师，也是UP主！","中英字幕：https://www.bilibili.com/video/BV13U5GzuEci
更多学习好物在小店！
购买链接：https://b23.tv/mall-YE6m-pD33",https://www.bilibili.com/video/BV1Zu411x7k4
六级,1,【四六级考前急救】四六级各个题型我们还能怎样多得两分？？,考研英语大雁,BV1Pxm4BTEme,115693919930846,1765349472.0,2025-12-10 14:51:12,26:40,222,1465,16420,1262.0,校园学习,"英语,考试,大学生,四六级,六级,四级,刘晓艳,四六级备战攻略,四级英语备考","听力+阅读+翻译+写作，我们还能怎样多得两分？
每个题型分配多长时间？？",https://www.bilibili.com/video/BV1Pxm4BTEme
六级,1,四六级翻译啥也不会没空背？看完保你考场丝滑下笔！,Econmedian,BV1Be2UB7EKg,115687980930985,1765258735.0,2025-12-09 13:38:55,12:13,1,437,9403,716.0,校园学习,"英语,四六级,六级,四级,六级阅读,四级翻译,六级翻译,四级阅读,四六级翻译,2025年12月四六级",,https://www.bilibili.com/video/BV1Be2UB7EKg
六级,1,【最新版】2025年12月英语六级刘晓燕保命班【CET6急救班】完整版附讲义,老李头CET,BV1F62RBqE2Z,115673569170305,1765066680.0,2025-12-07 08:18:00,2203:50,213,978,48370,1829.0,校园学习,"英语,四六级,最新版,英语六级,英语学习,六级考试,六级全程班,六级保命班,六级救命班,六级急救班",CET,https://www.bilibili.com/video/BV1F62RBqE2Z
六级,1,啥也不会，半个小时过四六级！（全网最简单粗暴能提分的四六级方法）,考研英语谭剑波,BV1uqMczxEJw,114669855443847,1749723825.0,2025-06-12 18:23:45,30:18,10779,29675,856833,45407.0,校园学习,"大学,英语,考试,四六级,六级,四级,方法论,六级听力,四六级听力,bilibili期末季",,https://www.bilibili.com/video/BV1uqMczxEJw
六级,1,四六级听力4天自救：听不懂也能蒙对！极限备考也有稳定回报！,Econmedian,BV1Tr26B6EKm,115682679264229,1765177976.0,2025-12-08 15:12:56,9:18,3,376,7727,529.0,校园学习,"听力,英语,四六级,六级,四级,四级听力,六级作文,六级听力,四六级作文,四级作文模版",,https://www.bilibili.com/video/BV1Tr26B6EKm
六级,1,【合集】【六级听力】三小时带你搞定六级听力！全网最简单粗暴能提分的六级教程！,烤鸭TV,BV1cr4y1c7nZ,755348791,1605403810.0,2020-11-15 09:30:10,135:15,342269,612144,13564295,800739.0,校园学习,"英语,四六级,雅思,六级听力","6课时提升六级听力分数，学好这套就够了！ 我们不讲没用的 ，只讲千锤百炼能提分的方法！ 

教程对应的课件获取，【公众号：烤鸭TV 】后台回复：六级听力讲义",https://www.bilibili.com/video/BV1cr4y1c7nZ
六级,1,不用背模板！一个视频让你高分拿下六级写作 写译197分高手超详细分解教学,爱吃蕃茄鸡蛋仔,BV14FCgBLEck,115548008488824,1763122867.0,2025-11-14 20:21:07,61:50,633,6477,151237,12228.0,校园学习,"高手,英语,考试,学习,高分,大佬,六级,作文,英语学习,万物研究所","还在为写不出作文而担忧吗？
看这一个视频就够了 看完马上就能明白~
不用背模板...不用背单词...
写译197高分大佬为你详细拆解分析四六级作文该怎么写！",https://www.bilibili.com/video/BV14FCgBLEck
